2015,JAN,90.2,269,275
2015,FEB,90.6,399,271
2015,MAR,91,529,268
2015,APR,92,659,257
2015,MAY,91.6,789,255
2015,JUN,92.1,918,261
2015,JUL,92.7,1049,251
2015,AUG,91.8,1178,260
2016,JAN,94.1,269,234
2016,FEB,93.5,399,242
2016,MAR,94.4,529,233
2016,APR,94.8,559,226
2016,MAY,94.7,789,228
2016,JUN,94.6,918,232
2016,JUL,94.5,1049,230
2016,AUG,94.8,1178,227
2017,JAN,95.5,269,220
2017,FEB,95.7,399,218
2017,MAR,96.2,529,212
2017,APR,96.7,559,205
2017,MAY,96.4,789,211
2017,JUN,97.1,918,203
2017,JUL,97.3,1049,200
2017,AUG,97.8,1178,194
2018,JAN,97.8,269,195
2018,FEB,98.2,399,191
2018,MAR,97.6,529,200
2018,APR,98.7,559,188
2018,MAY,100.4,789,170
2018,JUN,100.3,918,171
2018,JUL,101.4,1049,158
2018,AUG,101.4,1178,157
2019,JAN,101.8,269,153
2019,FEB,102,399,153
2019,MAR,102.4,529,146
2019,APR,102.6,559,145
2019,MAY,102.8,789,142
2019,JUN,102.2,918,148
2019,JUL,102.7,1049,144
2019,AUG,102.9,1178,141
2020,JAN,103.3,269,138
2020,FEB,102.4,399,146
2020,MAR,91.8,529,260
2020,APR,65.7,559,536
2020,MAY,74.5,789,443
2020,JUN,95.7,918,217
2020,JUL,103,1049,139
2020,AUG,102.8,1178,143
