DesignName,ParticipantID,TrialID,Block1,Block2,Graf,Q
Design 2,1,1,1,1,G2,Q2
Design 2,1,2,1,2,G2,Q1
Design 2,1,3,1,3,G2,Q3
Design 2,1,4,2,1,G1,Q2
Design 2,1,5,2,2,G1,Q1
Design 2,1,6,2,3,G1,Q3
Design 2,1,7,3,1,G3,Q2
Design 2,1,8,3,2,G3,Q1
Design 2,1,9,3,3,G3,Q3
Design 2,2,10,1,1,G3,Q3
Design 2,2,11,1,2,G3,Q2
Design 2,2,12,1,3,G3,Q1
Design 2,2,13,2,1,G2,Q3
Design 2,2,14,2,2,G2,Q2
Design 2,2,15,2,3,G2,Q1
Design 2,2,16,3,1,G1,Q3
Design 2,2,17,3,2,G1,Q2
Design 2,2,18,3,3,G1,Q1
Design 2,3,19,1,1,G1,Q1
Design 2,3,20,1,2,G1,Q3
Design 2,3,21,1,3,G1,Q2
Design 2,3,22,2,1,G3,Q1
Design 2,3,23,2,2,G3,Q3
Design 2,3,24,2,3,G3,Q2
Design 2,3,25,3,1,G2,Q1
Design 2,3,26,3,2,G2,Q3
Design 2,3,27,3,3,G2,Q2
Design 2,4,28,1,1,G2,Q2
Design 2,4,29,1,2,G2,Q1
Design 2,4,30,1,3,G2,Q3
Design 2,4,31,2,1,G1,Q2
Design 2,4,32,2,2,G1,Q1
Design 2,4,33,2,3,G1,Q3
Design 2,4,34,3,1,G3,Q2
Design 2,4,35,3,2,G3,Q1
Design 2,4,36,3,3,G3,Q3
Design 2,5,37,1,1,G3,Q3
Design 2,5,38,1,2,G3,Q2
Design 2,5,39,1,3,G3,Q1
Design 2,5,40,2,1,G2,Q3
Design 2,5,41,2,2,G2,Q2
Design 2,5,42,2,3,G2,Q1
Design 2,5,43,3,1,G1,Q3
Design 2,5,44,3,2,G1,Q2
Design 2,5,45,3,3,G1,Q1
Design 2,6,46,1,1,G1,Q1
Design 2,6,47,1,2,G1,Q3
Design 2,6,48,1,3,G1,Q2
Design 2,6,49,2,1,G3,Q1
Design 2,6,50,2,2,G3,Q3
Design 2,6,51,2,3,G3,Q2
Design 2,6,52,3,1,G2,Q1
Design 2,6,53,3,2,G2,Q3
Design 2,6,54,3,3,G2,Q2
